call_number,file,line,call_type,url_source,has_isUrlSafe_before_call,has_url_param_override,verdict,notes
001,server/src/controllers/authController.ts,82,fetch,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
002,server/src/controllers/integrationsController.ts,817,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
003,server/src/controllers/integrationsController.ts,833,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
004,server/src/graphql/index.ts,382,fetch,UNKNOWN,no,no,SAFE_CONSTANT_NO_OVERRIDE,url_source=UNKNOWN
005,server/src/services/advanced/byokService.ts,186,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
006,server/src/services/advanced/complianceAsCodeService.ts,164,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,provider base URL from config; path built from org integration metadata
007,server/src/services/advanced/complianceAsCodeService.ts,195,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
008,server/src/services/advanced/complianceAsCodeService.ts,230,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
009,server/src/services/advanced/complianceAsCodeService.ts,565,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
010,server/src/services/advanced/complianceAsCodeService.ts,608,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
011,server/src/services/advanced/complianceAsCodeService.ts,1186,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
012,server/src/services/advanced/complianceAsCodeService.ts,1190,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
013,server/src/services/advanced/multimodalIntakeService.ts,375,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
014,server/src/services/advanced/physicalAIService.ts,2696,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
015,server/src/services/advanced/physicalAIService.ts,2719,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
016,server/src/services/advanced/physicalAIService.ts,2746,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,robotics API base from service config constant; evidence=server/src/services/advanced/physicalAIService.ts:2746
017,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,117,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,provider base URL from config; path built from org integration metadata
018,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2397,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,provider base URL from config; path built from org integration metadata
019,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2566,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,provider base URL from config; path built from org integration metadata
020,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2600,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,provider base URL from config; path built from org integration metadata
021,server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2667,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,provider base URL from config; path built from org integration metadata
022,server/src/services/advanced/whisperService.ts,533,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
023,server/src/services/advanced/zeroTrustService.ts,524,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
024,server/src/services/advanced/zeroTrustService.ts,574,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
025,server/src/services/euRegulations/euAiDatabaseClient.ts,61,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,EU AI database API base URL constant; evidence=server/src/services/euRegulations/euAiDatabaseClient.ts:61
026,server/src/services/integrations/azureDevOpsService.ts,167,axios,HARDCODED_LITERAL,no,no,SAFE_CONSTANT_NO_OVERRIDE,"pinned literal URL, no URL parameter"
027,server/src/services/integrations/azureDevOpsService.ts,223,axios,ENV_VAR,no,no,SAFE_ENV_NO_OVERRIDE,"env-configured URL, no URL parameter"
028,server/src/services/integrations/githubService.ts,60,axios,CONFIG_OBJECT,no,no,SAFE_CONSTANT_NO_OVERRIDE,"config object base URL, no URL parameter"
029,server/src/services/integrations/githubService.ts,91,axios,DYNAMIC_COMPUTED,no,no,SAFE_CONSTANT_NO_OVERRIDE,GitHub OAuth token URL with pinned api.github.com base; evidence=server/src/services/integrations/githubService.ts:91
030,server/src/services/integrations/githubService.ts,183,axios,FUNCTION_PARAM,yes,yes,SAFE_VALIDATED,isUrlSafe(url) before axios.get in makeRequest; evidence=server/src/services/integrations/githubService.ts:179
031,server/src/services/integrations/jiraService.ts,63,axios,CONFIG_OBJECT,no,no,SAFE_CONSTANT_NO_OVERRIDE,"config object base URL, no URL parameter"
