op_number,file,line,model,operation,verdict,evidence_function_name,evidence_org_check_line,notes
001,server/src/services/advanced/acosService.ts,157,complianceGoal,create,ORG_IN_WHERE_OR_DATA,async createComplianceGoal(,server/src/services/advanced/acosService.ts:90,organizationId referenced before write in function
002,server/src/services/advanced/acosService.ts,170,auditLog,create,ORG_IN_WHERE_OR_DATA,async createComplianceGoal(,server/src/services/advanced/acosService.ts:90,organizationId referenced before write in function
003,server/src/services/advanced/acosService.ts,273,controlLoop,create,ORG_IN_WHERE_OR_DATA,async createControlLoop(,server/src/services/advanced/acosService.ts:261,organizationId in prisma where/data
004,server/src/services/advanced/acosService.ts,296,auditLog,create,ORG_IN_PRIOR_findFirst,async createControlLoop(,server/src/services/advanced/acosService.ts:237,prior findFirst/findUnique with organizationId
005,server/src/services/advanced/acosService.ts,483,controlLoop,update,ORG_IN_PRIOR_findFirst,async executeControlLoop(,server/src/services/advanced/acosService.ts:361,prior findFirst/findUnique with organizationId
006,server/src/services/advanced/acosService.ts,549,controlLoop,update,ORG_IN_PRIOR_findFirst,async executeControlLoop(,server/src/services/advanced/acosService.ts:361,prior findFirst/findUnique with organizationId
007,server/src/services/advanced/acosService.ts,568,controlLoop,update,ORG_IN_PRIOR_findFirst,async executeControlLoop(,server/src/services/advanced/acosService.ts:361,prior findFirst/findUnique with organizationId
008,server/src/services/advanced/acosService.ts,595,controlLoop,update,ORG_IN_PRIOR_findFirst,async executeControlLoop(,server/src/services/advanced/acosService.ts:361,prior findFirst/findUnique with organizationId
009,server/src/services/advanced/acosService.ts,661,frameworkControl,update,ORG_IN_WHERE_OR_DATA,private async autonomousAction(,server/src/services/advanced/acosService.ts:655,organizationId in prisma where/data
010,server/src/services/advanced/acosService.ts,715,complianceDebt,create,ORG_IN_WHERE_OR_DATA,async trackComplianceDebt(,server/src/services/advanced/acosService.ts:718,organizationId in prisma where/data
011,server/src/services/advanced/acosService.ts,730,auditLog,create,ORG_IN_WHERE_OR_DATA,async trackComplianceDebt(,server/src/services/advanced/acosService.ts:718,organizationId in prisma where/data
012,server/src/services/advanced/acosService.ts,903,changeImpact,create,ORG_IN_WHERE_OR_DATA,async forecastChangeImpact(,server/src/services/advanced/acosService.ts:892,organizationId in prisma where/data
013,server/src/services/advanced/acosService.ts,919,auditLog,create,ORG_IN_WHERE_OR_DATA,async forecastChangeImpact(,server/src/services/advanced/acosService.ts:906,organizationId in prisma where/data
014,server/src/services/advanced/acosService.ts,1198,auditLog,create,ORG_IN_WHERE_OR_DATA,async resolveChangeImpact(,server/src/services/advanced/acosService.ts:1188,organizationId in prisma where/data
015,server/src/services/advanced/acosService.ts,1209,changeImpact,update,ORG_IN_WHERE_OR_DATA,async resolveChangeImpact(,server/src/services/advanced/acosService.ts:1203,organizationId in prisma where/data
016,server/src/services/advanced/acosService.ts,1427,controlLoop,update,ORG_IN_WHERE_OR_DATA,async updateControlLoop(,server/src/services/advanced/acosService.ts:1438,organizationId in prisma where/data
017,server/src/services/advanced/acosService.ts,1433,controlLoop,update,ORG_IN_WHERE_OR_DATA,async updateControlLoop(,server/src/services/advanced/acosService.ts:1438,organizationId in prisma where/data
018,server/src/services/advanced/acosService.ts,1488,controlLoop,update,ORG_IN_WHERE_OR_DATA,"async pauseControlLoop(loopId: string, organizationId: string, userId: string): ",server/src/services/advanced/acosService.ts:1476,organizationId in prisma where/data
019,server/src/services/advanced/acosService.ts,1494,controlLoop,update,ORG_IN_WHERE_OR_DATA,"async pauseControlLoop(loopId: string, organizationId: string, userId: string): ",server/src/services/advanced/acosService.ts:1499,organizationId in prisma where/data
020,server/src/services/advanced/acosService.ts,1549,controlLoop,update,ORG_IN_WHERE_OR_DATA,"async resumeControlLoop(loopId: string, organizationId: string, userId: string):",server/src/services/advanced/acosService.ts:1537,organizationId in prisma where/data
021,server/src/services/advanced/acosService.ts,1555,controlLoop,update,ORG_IN_WHERE_OR_DATA,"async resumeControlLoop(loopId: string, organizationId: string, userId: string):",server/src/services/advanced/acosService.ts:1560,organizationId in prisma where/data
022,server/src/services/advanced/acosService.ts,1620,controlLoop,delete,ORG_IN_WHERE_OR_DATA,"async deleteControlLoop(loopId: string, organizationId: string, userId: string):",server/src/services/advanced/acosService.ts:1606,organizationId in prisma where/data
023,server/src/services/advanced/acosService.ts,1625,controlLoop,delete,ORG_IN_WHERE_OR_DATA,"async deleteControlLoop(loopId: string, organizationId: string, userId: string):",server/src/services/advanced/acosService.ts:1630,organizationId in prisma where/data
024,server/src/services/advanced/acosService.ts,1781,complianceGoal,update,ORG_IN_WHERE_OR_DATA,async updateComplianceGoal(,server/src/services/advanced/acosService.ts:1792,organizationId in prisma where/data
025,server/src/services/advanced/acosService.ts,1787,complianceGoal,update,ORG_IN_WHERE_OR_DATA,async updateComplianceGoal(,server/src/services/advanced/acosService.ts:1792,organizationId in prisma where/data
026,server/src/services/advanced/acosService.ts,1799,complianceGoal,update,ORG_IN_WHERE_OR_DATA,async updateComplianceGoal(,server/src/services/advanced/acosService.ts:1792,organizationId in prisma where/data
027,server/src/services/advanced/acosService.ts,1838,complianceGoal,update,ORG_IN_WHERE_OR_DATA,"async deleteComplianceGoal(goalId: string, organizationId: string, userId: strin",server/src/services/advanced/acosService.ts:1823,organizationId in prisma where/data
028,server/src/services/advanced/acosService.ts,1844,complianceGoal,update,ORG_IN_WHERE_OR_DATA,"async deleteComplianceGoal(goalId: string, organizationId: string, userId: strin",server/src/services/advanced/acosService.ts:1829,organizationId in prisma where/data
029,server/src/services/advanced/acosService.ts,1876,complianceGoal,update,ORG_IN_WHERE_OR_DATA,"async restoreComplianceGoal(goalId: string, organizationId: string, userId: stri",server/src/services/advanced/acosService.ts:1861,organizationId in prisma where/data
030,server/src/services/advanced/acosService.ts,1882,complianceGoal,update,ORG_IN_WHERE_OR_DATA,"async restoreComplianceGoal(goalId: string, organizationId: string, userId: stri",server/src/services/advanced/acosService.ts:1867,organizationId in prisma where/data
031,server/src/services/advanced/acosService.ts,1925,controlLoop,update,ORG_IN_WHERE_OR_DATA,async updateControlLoopMetrics(,server/src/services/advanced/acosService.ts:1914,organizationId in prisma where/data
032,server/src/services/advanced/acosService.ts,2093,complianceDebt,update,ORG_IN_WHERE_OR_DATA,async resolveComplianceDebt(,server/src/services/advanced/acosService.ts:2080,organizationId in prisma where/data
033,server/src/services/advanced/acosService.ts,2102,complianceDebt,update,ORG_IN_WHERE_OR_DATA,async resolveComplianceDebt(,server/src/services/advanced/acosService.ts:2107,organizationId in prisma where/data
034,server/src/services/advanced/acosService.ts,2153,complianceFramework,update,ORG_IN_WHERE_OR_DATA,private async recalculateComplianceScore(,server/src/services/advanced/acosService.ts:2129,organizationId referenced before write in function
035,server/src/services/advanced/acosService.ts,2312,controlLoop,updateMany,ORG_IN_WHERE_OR_DATA,"async updateControlLoopConfidence(controlId: string, organizationId: string): Pr",server/src/services/advanced/acosService.ts:2298,organizationId in prisma where/data
036,server/src/services/advanced/acosService.ts,2340,controlLoopHistory,create,ORG_IN_WHERE_OR_DATA,private async recordLoopHistory(,server/src/services/advanced/acosService.ts:2332,organizationId in prisma where/data
037,server/src/services/advanced/agenticAIService.ts,469,agenticAction,create,ORG_IN_WHERE_OR_DATA,async executeAction(,server/src/services/advanced/agenticAIService.ts:472,organizationId in prisma where/data
038,server/src/services/advanced/agenticAIService.ts,529,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async executeActionInternal(,server/src/services/advanced/agenticAIService.ts:520,organizationId in prisma where/data
039,server/src/services/advanced/agenticAIService.ts,568,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async executeActionInternal(,server/src/services/advanced/agenticAIService.ts:557,organizationId in prisma where/data
040,server/src/services/advanced/agenticAIService.ts,580,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async executeActionInternal(,server/src/services/advanced/agenticAIService.ts:587,organizationId in prisma where/data
041,server/src/services/advanced/agenticAIService.ts,588,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async executeActionInternal(,server/src/services/advanced/agenticAIService.ts:587,organizationId in prisma where/data
042,server/src/services/advanced/agenticAIService.ts,596,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async executeActionInternal(,server/src/services/advanced/agenticAIService.ts:587,organizationId in prisma where/data
043,server/src/services/advanced/agenticAIService.ts,623,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async executeActionInternal(,server/src/services/advanced/agenticAIService.ts:520,organizationId referenced before write in function
044,server/src/services/advanced/agenticAIService.ts,691,agenticAction,update,ORG_IN_WHERE_OR_DATA,private async createCheckpoint(,server/src/services/advanced/agenticAIService.ts:679,organizationId in prisma where/data
045,server/src/services/advanced/agenticAIService.ts,742,frameworkControl,update,ORG_IN_WHERE_OR_DATA,private async executeControlUpdate(,server/src/services/advanced/agenticAIService.ts:737,organizationId in prisma where/data
046,server/src/services/advanced/agenticAIService.ts,770,policy,create,ORG_IN_WHERE_OR_DATA,private async executePolicyCreate(,server/src/services/advanced/agenticAIService.ts:764,organizationId in prisma where/data
047,server/src/services/advanced/agenticAIService.ts,806,riskItem,update,ORG_IN_WHERE_OR_DATA,private async executeRiskMitigation(,server/src/services/advanced/agenticAIService.ts:793,organizationId in prisma where/data
048,server/src/services/advanced/agenticAIService.ts,896,agenticAction,update,ORG_IN_WHERE_OR_DATA,async rollbackAction(,server/src/services/advanced/agenticAIService.ts:882,organizationId in prisma where/data
049,server/src/services/advanced/agenticAIService.ts,908,auditLog,create,ORG_IN_WHERE_OR_DATA,async rollbackAction(,server/src/services/advanced/agenticAIService.ts:893,organizationId in prisma where/data
050,server/src/services/advanced/agenticAIService.ts,1017,frameworkControl,update,ORG_IN_WHERE_OR_DATA,private async performRollback(,server/src/services/advanced/agenticAIService.ts:1002,organizationId in prisma where/data
051,server/src/services/advanced/agenticAIService.ts,1035,riskItem,update,ORG_IN_WHERE_OR_DATA,private async performRollback(,server/src/services/advanced/agenticAIService.ts:1029,organizationId in prisma where/data
052,server/src/services/advanced/agenticAIService.ts,1052,policy,delete,ORG_IN_WHERE_OR_DATA,private async performRollback(,server/src/services/advanced/agenticAIService.ts:1046,organizationId in prisma where/data
053,server/src/services/advanced/agenticAIService.ts,1122,agenticAction,update,ORG_IN_WHERE_OR_DATA,async cleanupExpiredCheckpoints(organizationId: string): Promise<number> {,server/src/services/advanced/agenticAIService.ts:1109,organizationId in prisma where/data
054,server/src/services/advanced/agenticAIService.ts,1167,agenticAction,update,ORG_IN_WHERE_OR_DATA,async approveAction(,server/src/services/advanced/agenticAIService.ts:1153,organizationId in prisma where/data
055,server/src/services/advanced/agenticAIService.ts,1201,auditLog,create,ORG_IN_WHERE_OR_DATA,async approveAction(,server/src/services/advanced/agenticAIService.ts:1212,organizationId in prisma where/data
056,server/src/services/advanced/agenticAIService.ts,1263,agenticAction,update,ORG_IN_WHERE_OR_DATA,"private async lockAction(lockKey: string, organizationId: string, actionId: stri",server/src/services/advanced/agenticAIService.ts:1260,organizationId in prisma where/data
057,server/src/services/advanced/agenticAIService.ts,1295,agenticAction,update,ORG_IN_WHERE_OR_DATA,"private async unlockAction(lockKey: string, organizationId: string): Promise<voi",server/src/services/advanced/agenticAIService.ts:1282,organizationId in prisma where/data
058,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,193,knowledgeGraphEntity,upsert,ORG_IN_WHERE_OR_DATA,export async function buildKnowledgeGraph(,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:53,organizationId referenced before write in function
059,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,219,knowledgeGraphRelationship,upsert,ORG_IN_WHERE_OR_DATA,export async function buildKnowledgeGraph(,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:53,organizationId referenced before write in function
060,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,247,knowledgeGraphEntity,update,ORG_IN_WHERE_OR_DATA,export async function buildKnowledgeGraph(,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:53,organizationId referenced before write in function
061,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,286,knowledgeGraphRelationship,update,ORG_IN_WHERE_OR_DATA,export async function buildKnowledgeGraph(,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:53,organizationId referenced before write in function
062,server/src/services/advanced/blockchainService.ts,278,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async recordAuditLog(,server/src/services/advanced/blockchainService.ts:278,non-prisma: const dataHash = crypto.createHash('sha256').update(dataToHash).digest('hex');
063,server/src/services/advanced/blockchainService.ts,455,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private async initializeHyperledger(): Promise<void> {,server/src/services/advanced/blockchainService.ts:455,non-prisma: sign.update(Buffer.from(digest));
064,server/src/services/advanced/blockchainService.ts,944,auditLog,create,ORG_IN_WHERE_OR_DATA,private async storeBlockchainRecord(record: BlockchainRecord): Promise<void> {,server/src/services/advanced/blockchainService.ts:947,organizationId in prisma where/data
065,server/src/services/advanced/blockchainService.ts,1005,organization,updateMany,GAP_HIGH,async deployComplianceContract(network: BlockchainNetwork = 'polygon'): Promise<,server/src/services/advanced/blockchainService.ts:1005,deployComplianceContract updateMany with empty where:{} — incomplete stub write
066,server/src/services/advanced/blockchainService.ts,1913,auditLog,create,ORG_IN_WHERE_OR_DATA,async startRegistryEventListeners(): Promise<void> {,server/src/services/advanced/blockchainService.ts:1916,organizationId in prisma where/data
067,server/src/services/advanced/blockchainService.ts,1948,auditLog,create,ORG_IN_WHERE_OR_DATA,async startRegistryEventListeners(): Promise<void> {,server/src/services/advanced/blockchainService.ts:1951,organizationId in prisma where/data
068,server/src/services/advanced/blockchainService.ts,1981,auditLog,create,ORG_IN_WHERE_OR_DATA,async startRegistryEventListeners(): Promise<void> {,server/src/services/advanced/blockchainService.ts:1916,organizationId referenced before write in function
069,server/src/services/advanced/blockchainService.ts,2016,auditLog,create,ORG_IN_WHERE_OR_DATA,async startRegistryEventListeners(): Promise<void> {,server/src/services/advanced/blockchainService.ts:1916,organizationId referenced before write in function
