file,verdict,serverReachable_lines,api_call_lines,static_constants_declared,static_constants_overridden,static_constants_still_persistent,notes
components/ACOSDashboard.tsx,FULLY_WIRED,,"129,130,131,161,173,554,582,761,781,807,826,857,964,992,1008,1023,1047,1297,1387,1511,1654,1665,1803,1823,1962,1976,1994,2012,2346,2350,2383,2456,2630,2643,2655,2669,2689,2707,3016,3041",,,,"useEffect@83,753,1306,1672,1812; grep_hits=50"
components/AIComplianceCopilot.tsx,FULLY_WIRED,,561,,,,"useEffect@507,514,521; grep_hits=5"
components/AIFeatures/AgenticVendorRisk.tsx,FULLY_WIRED,,452,,,,grep_hits=1
components/AIFeatures/AuditSimulator.tsx,FULLY_WIRED,,"458,507,583",,,,useEffect@451; grep_hits=5
components/AIFeatures/BCPGenerator.tsx,FULLY_WIRED,,38,,,,grep_hits=1
components/AIFeatures/ContractAnalyzer.tsx,FULLY_WIRED,,68,,,,
components/AIFeatures/CrossFrameworkMapper.tsx,FULLY_WIRED,,394,,,,grep_hits=1
components/AIFeatures/DataMapper.tsx,FULLY_WIRED,,32,,,,useEffect@17; grep_hits=3
components/AIFeatures/EvidenceCompletenessChecker.tsx,FULLY_WIRED,,678,,,,grep_hits=1
components/AIFeatures/EvidenceDetailPanel.tsx,FULLY_WIRED,,"98,99,100,137,159",,,,useEffect@120; grep_hits=7
components/AIFeatures/GapAnalysis.tsx,FULLY_WIRED,,"23,88",,,,useEffect@19; grep_hits=4
components/AIFeatures/HomomorphicAI.tsx,FULLY_WIRED,,"65,98,120,154,157,195,198,240,243",,,,grep_hits=9
components/AIFeatures/NaturalLanguageQuery.tsx,FULLY_WIRED,,265,,,,"useEffect@244,250; grep_hits=4"
components/AIFeatures/PhishingGenerator.tsx,FULLY_WIRED,,69,,,,grep_hits=1
components/AIFeatures/PolicyGenerator.tsx,STATIC_ONLY,,,,,,no API after full read; grep_hits=2
components/AIFeatures/RFPResponder.tsx,FULLY_WIRED,,"72,91",,,,grep_hits=2
