site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
1,frameworksController.ts,x,,NOT_APPLICABLE,AppError-throw,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
2,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
3,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
4,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
5,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
6,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
7,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
8,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
9,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
10,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
11,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
12,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
13,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
14,generated/prisma/client/index.d.ts,x,,NOT_APPLICABLE,prisma-generated-type,,not multer call site,NONE,2026-05-28T18:30:00Z,s2-cov17-1
