site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
1,./server/src/services/integrations/evidenceTruthLayerService.ts,625,prisma.integration write or field-write,NOT_APPLICABLE,,,function-signature,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
2,./server/src/services/integrations/evidenceTruthLayerService.ts,863,prisma.integration write or field-write,NOT_APPLICABLE,,,function-signature,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
3,./server/src/services/integrations/evidenceTruthLayerService.ts,873,prisma.integration write or field-write,NOT_APPLICABLE,,,read-path-decryption,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
4,./server/src/services/integrations/zeroKnowledgeService.ts,181,prisma.integration write or field-write,NOT_APPLICABLE,,,function-parameter,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
5,./server/src/services/integrations/zeroKnowledgeService.ts,186,prisma.integration write or field-write,NOT_APPLICABLE,,,in-memory-zk-input,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
6,./server/src/services/integrations/awsService.ts,525,prisma.integration write or field-write,NOT_APPLICABLE,,,disconnect-clears-config,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
7,./server/src/services/integrations/awsService.ts,89,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField at 106-108 117-119,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
8,./server/src/services/integrations/azureDevOpsService.ts,146,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField at 146,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
9,./server/src/services/integrations/azureDevOpsService.ts,147,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField at 147,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
10,./server/src/services/integrations/azureDevOpsService.ts,148,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField at 148,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
11,./server/src/services/integrations/azureDevOpsService.ts,159,prisma.integration write or field-write,NOT_APPLICABLE,,,decryptField read-path,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
12,./server/src/services/integrations/azureDevOpsService.ts,160,prisma.integration write or field-write,NOT_APPLICABLE,,,decryptField read-path,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
13,./server/src/services/integrations/azureDevOpsService.ts,161,prisma.integration write or field-write,NOT_APPLICABLE,,,decryptField read-path,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
14,./server/src/services/integrations/azureDevOpsService.ts,241,prisma.integration write or field-write,NOT_APPLICABLE,,,logger.error,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
15,./server/src/services/integrations/azureDevOpsService.ts,276,prisma.integration write or field-write,NOT_APPLICABLE,,,local-var-assembly,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
16,./server/src/services/integrations/azureDevOpsService.ts,277,prisma.integration write or field-write,NOT_APPLICABLE,,,local-var-assembly,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
17,./server/src/services/integrations/azureDevOpsService.ts,280,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField at 283-284,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
18,./server/src/services/integrations/azureDevOpsService.ts,283,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
19,./server/src/services/integrations/azureDevOpsService.ts,284,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
20,./server/src/services/integrations/azureDevOpsService.ts,376,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField at 389-390 397-398,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
21,./server/src/services/integrations/azureDevOpsService.ts,389,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
22,./server/src/services/integrations/azureDevOpsService.ts,390,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
23,./server/src/services/integrations/azureDevOpsService.ts,397,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
24,./server/src/services/integrations/azureDevOpsService.ts,398,prisma.integration write or field-write,WRAPPED_VERIFIED,,,encryptField,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
25,./server/src/services/integrations/azureDevOpsService.ts,409,prisma.integration write or field-write,NOT_APPLICABLE,,,disconnect-clears-tokens,NONE,2026-05-28T15:55:00Z,subagent-cov1-10
26,./server/src/services/integrations/azureDevOpsService.ts,418,prisma.integration write or field-write,NOT_APPLICABLE,,,disconnect-null,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
27,./server/src/services/integrations/azureDevOpsService.ts,419,prisma.integration write or field-write,NOT_APPLICABLE,,,disconnect-null,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
28,./server/src/services/integrations/azureService.ts,19,prisma.integration write or field-write,NOT_APPLICABLE,,,type-def,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
29,./server/src/services/integrations/azureService.ts,21,prisma.integration write or field-write,NOT_APPLICABLE,,,type-def,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
30,./server/src/services/integrations/azureService.ts,366,prisma.integration write or field-write,NOT_APPLICABLE,,,return-object,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
31,./server/src/services/integrations/azureService.ts,456,prisma.integration write or field-write,NOT_APPLICABLE,,,update-lastSync-only,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
32,./server/src/services/integrations/azureService.ts,477,prisma.integration write or field-write,NOT_APPLICABLE,,,disconnect-nullification,NONE,2026-05-28T15:55:00Z,subagent-cov1-11
