site_number,file,line,call_signature,verdict,auth_method,evidence_quote,severity,verified_at,verified_by
1,server/src/routes/privacy.ts,61,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
2,server/src/routes/privacy.ts,174,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
3,server/src/routes/privacy.ts,211,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
4,server/src/routes/privacy.ts,261,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
5,server/src/routes/privacy.ts,285,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
6,server/src/routes/privacy.ts,338,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
7,server/src/routes/privacy.ts,383,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
8,server/src/routes/privacy.ts,432,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
9,server/src/routes/privacy.ts,469,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
10,server/src/routes/privacy.ts,508,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
11,server/src/routes/privacy.ts,553,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
12,server/src/routes/privacy.ts,599,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
13,server/src/routes/privacy.ts,664,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
14,server/src/routes/privacy.ts,701,router.put(,UNCLASSIFIED,,,UNCLASSIFIED,,
15,server/src/routes/privacy.ts,756,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
16,server/src/routes/privacy.ts,791,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
17,server/src/routes/privacy.ts,827,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
18,server/src/routes/privacy.ts,867,router.delete(,UNCLASSIFIED,,,UNCLASSIFIED,,
19,server/src/routes/privacy.ts,891,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
20,server/src/routes/privacy.ts,925,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
21,server/src/routes/privacy.ts,981,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
22,server/src/routes/privacy.ts,1016,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
23,server/src/routes/privacy.ts,1054,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
24,server/src/routes/privacy.ts,1092,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
25,server/src/routes/privacy.ts,1123,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
26,server/src/routes/privacy.ts,1192,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
27,server/src/routes/privacy.ts,1222,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
28,server/src/routes/privacy.ts,1262,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
29,server/src/routes/privacy.ts,1307,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
30,server/src/routes/privacy.ts,1337,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
31,server/src/routes/privacy.ts,1376,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
32,server/src/routes/privacy.ts,1417,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
33,server/src/routes/privacy.ts,1466,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
34,server/src/routes/privacy.ts,1526,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
35,server/src/routes/privacy.ts,1556,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
36,server/src/routes/privacy.ts,1596,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
37,server/src/routes/privacy.ts,1618,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
38,server/src/routes/privacy.ts,1669,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
39,server/src/routes/privacy.ts,1712,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
40,server/src/routes/privacy.ts,1756,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
41,server/src/routes/privacy.ts,1786,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
42,server/src/routes/privacy.ts,1817,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
43,server/src/routes/privacy.ts,1854,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
44,server/src/routes/privacy.ts,1893,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
45,server/src/routes/privacy.ts,1922,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
46,server/src/routes/privacy.ts,1960,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
47,server/src/routes/privacy.ts,1999,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
48,server/src/routes/privacy.ts,2035,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
49,server/src/routes/privacy.ts,2065,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
50,server/src/routes/privacy.ts,2107,router.patch(,UNCLASSIFIED,,,UNCLASSIFIED,,
51,server/src/routes/privacy.ts,2143,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
52,server/src/routes/privacy.ts,2170,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
53,server/src/routes/privacy.ts,2197,router.post(,UNCLASSIFIED,,,UNCLASSIFIED,,
54,server/src/routes/privacy.ts,2229,router.get('/notices'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
55,server/src/routes/privacy.ts,2248,router.post('/notices'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
56,server/src/routes/privacy.ts,2258,router.get('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
57,server/src/routes/privacy.ts,2268,router.patch('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
58,server/src/routes/privacy.ts,2282,router.delete('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
59,server/src/routes/privacy.ts,2293,router.post('/notices/:id/impression'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
60,server/src/routes/privacy.ts,2307,router.post('/notices/:id/accept'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
61,server/src/routes/privacy.ts,2321,router.post('/notices/:id/dismiss'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
62,server/src/routes/privacy.ts,2335,router.get('/notices/by-context/:context'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
63,server/src/routes/privacy.ts,2353,router.get('/child-consent/config'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
64,server/src/routes/privacy.ts,2380,router.post('/child-consent/verify-age'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
65,server/src/routes/privacy.ts,2434,router.post('/child-consent/parental-consent'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
66,server/src/routes/privacy.ts,2463,router.get('/child-consent/pending'; asyncHandler(async (req: Request; res: Response) => {,UNCLASSIFIED,,,UNCLASSIFIED,,
67,server/src/routes/status.ts,20,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
68,server/src/routes/status.ts,62,router.get(,UNCLASSIFIED,,,UNCLASSIFIED,,
69,server/src/routes/acos.ts,65,router.post('/goals'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); validateBody(createGoalSchema); asyncHandler(acosController.createGoal));,UNCLASSIFIED,,,UNCLASSIFIED,,
70,server/src/routes/acos.ts,66,router.get('/goals'; ...requireAcosFeature('acosGoals'); asyncHandler(acosController.getGoals));,UNCLASSIFIED,,,UNCLASSIFIED,,
