site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session
1,server/src/routes/privacy.ts,61,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
2,server/src/routes/privacy.ts,174,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
3,server/src/routes/privacy.ts,211,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
4,server/src/routes/privacy.ts,261,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
5,server/src/routes/privacy.ts,285,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
6,server/src/routes/privacy.ts,338,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
7,server/src/routes/privacy.ts,383,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
8,server/src/routes/privacy.ts,432,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
9,server/src/routes/privacy.ts,469,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
10,server/src/routes/privacy.ts,508,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
11,server/src/routes/privacy.ts,553,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
12,server/src/routes/privacy.ts,599,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
13,server/src/routes/privacy.ts,664,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
14,server/src/routes/privacy.ts,701,router.put(,AUTH_MOUNT_VERIFIED,N/A,router.put(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
15,server/src/routes/privacy.ts,756,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
16,server/src/routes/privacy.ts,791,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
17,server/src/routes/privacy.ts,827,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
18,server/src/routes/privacy.ts,867,router.delete(,AUTH_MOUNT_VERIFIED,N/A,router.delete(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
19,server/src/routes/privacy.ts,891,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
20,server/src/routes/privacy.ts,925,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
21,server/src/routes/privacy.ts,981,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
22,server/src/routes/privacy.ts,1016,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
23,server/src/routes/privacy.ts,1054,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
24,server/src/routes/privacy.ts,1092,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
25,server/src/routes/privacy.ts,1123,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
26,server/src/routes/privacy.ts,1192,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
27,server/src/routes/privacy.ts,1222,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
28,server/src/routes/privacy.ts,1262,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
29,server/src/routes/privacy.ts,1307,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
30,server/src/routes/privacy.ts,1337,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
31,server/src/routes/privacy.ts,1376,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
32,server/src/routes/privacy.ts,1417,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
33,server/src/routes/privacy.ts,1466,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
34,server/src/routes/privacy.ts,1526,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
35,server/src/routes/privacy.ts,1556,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
36,server/src/routes/privacy.ts,1596,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
37,server/src/routes/privacy.ts,1618,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
38,server/src/routes/privacy.ts,1669,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
