site_number,file,line,call_signature,verdict,leaks,evidence_quote,severity,verified_at,verified_by
1,./server/src/config/database.ts,162,      logger.info('✅ Database connection established');,UNCLASSIFIED,,,UNCLASSIFIED,,
2,./server/src/config/database.ts,166,        logger.warn(`Database connection attempt ${i + 1} failed; retrying in ${delay}ms...`);,UNCLASSIFIED,,,UNCLASSIFIED,,
3,./server/src/config/database.ts,169,        logger.error('❌ Database connection failed after retries:'; error.message);,UNCLASSIFIED,,,UNCLASSIFIED,,
4,./server/src/config/database.ts,180,    logger.debug(`Query: ${e.query}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
5,./server/src/config/database.ts,181,    logger.debug(`Duration: ${e.duration}ms`);,UNCLASSIFIED,,,UNCLASSIFIED,,
6,./server/src/config/database.ts,188,  logger.info('Database connection closed');,UNCLASSIFIED,,,UNCLASSIFIED,,
7,./server/src/config/monitoring.ts,18,  logger.warn('Sentry packages not installed. Install with: npm install @sentry/node @sentry/profiling-node');,UNCLASSIFIED,,,UNCLASSIFIED,,
8,./server/src/config/monitoring.ts,70,    logger.info('Sentry disabled or DSN not configured');,UNCLASSIFIED,,,UNCLASSIFIED,,
9,./server/src/config/monitoring.ts,75,    logger.warn('Sentry packages not installed. Install with: npm install @sentry/node @sentry/profiling-node');,UNCLASSIFIED,,,UNCLASSIFIED,,
10,./server/src/config/monitoring.ts,140,    logger.info('Sentry initialized successfully');,UNCLASSIFIED,,,UNCLASSIFIED,,
11,./server/src/config/monitoring.ts,142,    logger.error('Failed to initialize Sentry:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
12,./server/src/config/monitoring.ts,151,    logger.info('APM disabled');,UNCLASSIFIED,,,UNCLASSIFIED,,
13,./server/src/config/monitoring.ts,169,      logger.info('APM initialized (Elastic APM)');,UNCLASSIFIED,,,UNCLASSIFIED,,
14,./server/src/config/monitoring.ts,171,      logger.error('Failed to initialize Elastic APM:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
15,./server/src/config/monitoring.ts,180,      logger.info('APM initialized (New Relic)');,UNCLASSIFIED,,,UNCLASSIFIED,,
16,./server/src/config/monitoring.ts,184,        logger.warn('NEW_RELIC_LICENSE_KEY set but newrelic package not installed — skipping. Add "newrelic" to dependencies to enable.');,UNCLASSIFIED,,,UNCLASSIFIED,,
17,./server/src/config/monitoring.ts,186,        logger.error('Failed to initialize New Relic:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
18,./server/src/config/monitoring.ts,276,          logger.warn('Failed to start Sentry transaction (old API):'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
19,./server/src/config/monitoring.ts,283,      logger.warn('Sentry transaction API not available:'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
20,./server/src/config/performanceMonitoring.ts,76,      logger.warn(,UNCLASSIFIED,,,UNCLASSIFIED,,
21,./server/src/config/performanceMonitoring.ts,106,      logger.warn(,UNCLASSIFIED,,,UNCLASSIFIED,,
22,./server/src/config/regions/multiRegionConfig.ts,311,      logger.warn(`[MultiRegion] Unknown region ${this.currentRegion}; defaulting to us-east-1`);,UNCLASSIFIED,,,UNCLASSIFIED,,
23,./server/src/config/regions/multiRegionConfig.ts,315,    logger.info(`[MultiRegion] Initialized in region: ${REGIONS[this.currentRegion].name}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
24,./server/src/config/regions/multiRegionConfig.ts,335,          logger.debug('[MultiRegion] Failed to sync initial health state to Redis; using local state');,UNCLASSIFIED,,,UNCLASSIFIED,,
25,./server/src/config/regions/multiRegionConfig.ts,491,    logger.info('[MultiRegion] Cross-region health checks started');,UNCLASSIFIED,,,UNCLASSIFIED,,
26,./server/src/config/regions/multiRegionConfig.ts,528,        logger.error(`[MultiRegion] Region ${regionCode} is unhealthy (${consecutiveFailures} consecutive failures)`);,UNCLASSIFIED,,,UNCLASSIFIED,,
27,./server/src/config/regions/multiRegionConfig.ts,530,          logger.warn(`[MultiRegion] Auto-failover triggered for ${regionCode} -> ${config.failover.target}`);,UNCLASSIFIED,,,UNCLASSIFIED,,
28,./server/src/config/regions/multiRegionConfig.ts,545,      logger.debug('[MultiRegion] Failed to sync health state to Redis; using local state');,UNCLASSIFIED,,,UNCLASSIFIED,,
29,./server/src/config/regions/multiRegionConfig.ts,582,    logger.info('[MultiRegion] Health checks stopped');,UNCLASSIFIED,,,UNCLASSIFIED,,
30,./server/src/controllers/acosController.ts,34,      logger.error('Create goal error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
31,./server/src/controllers/acosController.ts,36,      logger.error('Create goal error details:'; { error: errorMessage; stack: error?.stack });,UNCLASSIFIED,,,UNCLASSIFIED,,
32,./server/src/controllers/acosController.ts,52,      logger.error('Get goals error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
33,./server/src/controllers/acosController.ts,64,      logger.error('Get goal error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
34,./server/src/controllers/acosController.ts,81,      logger.error('Update goal error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
35,./server/src/controllers/acosController.ts,93,      logger.error('Delete goal error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
36,./server/src/controllers/acosController.ts,105,      logger.error('Restore goal error'; error);,UNCLASSIFIED,,,UNCLASSIFIED,,
