site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session
1,./server/src/config/database.ts,162,      logger.info('✅ Database connection established');,SAFE_LOG,N/A,      logger.info('✅ Database connection established');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
2,./server/src/config/database.ts,166,        logger.warn(`Database connection attempt ${i + 1} failed; retrying in ${delay}ms...`);,SAFE_LOG,N/A,        logger.warn(`Database connection attempt ${i + 1} failed; retrying in ${delay}ms...`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
3,./server/src/config/database.ts,169,        logger.error('❌ Database connection failed after retries:'; error.message);,SAFE_LOG,N/A,        logger.error('❌ Database connection failed after retries:'; error.message);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
4,./server/src/config/database.ts,180,    logger.debug(`Query: ${e.query}`);,SAFE_LOG,N/A,    logger.debug(`Query: ${e.query}`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
5,./server/src/config/database.ts,181,    logger.debug(`Duration: ${e.duration}ms`);,SAFE_LOG,N/A,    logger.debug(`Duration: ${e.duration}ms`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
6,./server/src/config/database.ts,188,  logger.info('Database connection closed');,SAFE_LOG,N/A,  logger.info('Database connection closed');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
7,./server/src/config/monitoring.ts,18,  logger.warn('Sentry packages not installed. Install with: npm install @sentry/node @sentry/profiling-node');,SAFE_LOG,N/A,  logger.warn('Sentry packages not installed. Install with: npm install @sentry/node @sentry/profiling-node');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
8,./server/src/config/monitoring.ts,70,    logger.info('Sentry disabled or DSN not configured');,SAFE_LOG,N/A,    logger.info('Sentry disabled or DSN not configured');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
9,./server/src/config/monitoring.ts,75,    logger.warn('Sentry packages not installed. Install with: npm install @sentry/node @sentry/profiling-node');,SAFE_LOG,N/A,    logger.warn('Sentry packages not installed. Install with: npm install @sentry/node @sentry/profiling-node');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
10,./server/src/config/monitoring.ts,140,    logger.info('Sentry initialized successfully');,SAFE_LOG,N/A,    logger.info('Sentry initialized successfully');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
11,./server/src/config/monitoring.ts,142,    logger.error('Failed to initialize Sentry:'; error);,SAFE_LOG,N/A,    logger.error('Failed to initialize Sentry:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
12,./server/src/config/monitoring.ts,151,    logger.info('APM disabled');,SAFE_LOG,N/A,    logger.info('APM disabled');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
13,./server/src/config/monitoring.ts,169,      logger.info('APM initialized (Elastic APM)');,SAFE_LOG,N/A,      logger.info('APM initialized (Elastic APM)');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
14,./server/src/config/monitoring.ts,171,      logger.error('Failed to initialize Elastic APM:'; error);,SAFE_LOG,N/A,      logger.error('Failed to initialize Elastic APM:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
15,./server/src/config/monitoring.ts,180,      logger.info('APM initialized (New Relic)');,SAFE_LOG,N/A,      logger.info('APM initialized (New Relic)');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
16,./server/src/config/monitoring.ts,184,"        logger.warn('NEW_RELIC_LICENSE_KEY set but newrelic package not installed — skipping. Add ""newrelic"" to dependencies to enable.');",SAFE_LOG,N/A,        logger.warn('NEW_RELIC_LICENSE_KEY set but newrelic package not installed — skipping. Add 'newrelic' to dependencies to enable.');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
17,./server/src/config/monitoring.ts,186,        logger.error('Failed to initialize New Relic:'; error);,SAFE_LOG,N/A,        logger.error('Failed to initialize New Relic:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
18,./server/src/config/monitoring.ts,276,          logger.warn('Failed to start Sentry transaction (old API):'; error);,SAFE_LOG,N/A,          logger.warn('Failed to start Sentry transaction (old API):'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
19,./server/src/config/monitoring.ts,283,      logger.warn('Sentry transaction API not available:'; error);,SAFE_LOG,N/A,      logger.warn('Sentry transaction API not available:'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
20,./server/src/config/performanceMonitoring.ts,76,      logger.warn(,SAFE_LOG,N/A,      logger.warn(,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
21,./server/src/config/performanceMonitoring.ts,106,      logger.warn(,SAFE_LOG,N/A,      logger.warn(,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
22,./server/src/config/regions/multiRegionConfig.ts,311,      logger.warn(`[MultiRegion] Unknown region ${this.currentRegion}; defaulting to us-east-1`);,SAFE_LOG,N/A,      logger.warn(`[MultiRegion] Unknown region ${this.currentRegion}; defaulting to us-east-1`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
23,./server/src/config/regions/multiRegionConfig.ts,315,    logger.info(`[MultiRegion] Initialized in region: ${REGIONS[this.currentRegion].name}`);,SAFE_LOG,N/A,    logger.info(`[MultiRegion] Initialized in region: ${REGIONS[this.currentRegion].name}`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
24,./server/src/config/regions/multiRegionConfig.ts,335,          logger.debug('[MultiRegion] Failed to sync initial health state to Redis; using local state');,SAFE_LOG,N/A,          logger.debug('[MultiRegion] Failed to sync initial health state to Redis; using local state');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
25,./server/src/config/regions/multiRegionConfig.ts,491,    logger.info('[MultiRegion] Cross-region health checks started');,SAFE_LOG,N/A,    logger.info('[MultiRegion] Cross-region health checks started');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
26,./server/src/config/regions/multiRegionConfig.ts,528,        logger.error(`[MultiRegion] Region ${regionCode} is unhealthy (${consecutiveFailures} consecutive failures)`);,SAFE_LOG,N/A,        logger.error(`[MultiRegion] Region ${regionCode} is unhealthy (${consecutiveFailures} consecutive failures)`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
27,./server/src/config/regions/multiRegionConfig.ts,530,          logger.warn(`[MultiRegion] Auto-failover triggered for ${regionCode} -> ${config.failover.target}`);,SAFE_LOG,N/A,          logger.warn(`[MultiRegion] Auto-failover triggered for ${regionCode} -> ${config.failover.target}`);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
28,./server/src/config/regions/multiRegionConfig.ts,545,      logger.debug('[MultiRegion] Failed to sync health state to Redis; using local state');,SAFE_LOG,N/A,      logger.debug('[MultiRegion] Failed to sync health state to Redis; using local state');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
29,./server/src/config/regions/multiRegionConfig.ts,582,    logger.info('[MultiRegion] Health checks stopped');,SAFE_LOG,N/A,    logger.info('[MultiRegion] Health checks stopped');,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
30,./server/src/controllers/acosController.ts,34,      logger.error('Create goal error'; error);,SAFE_LOG,N/A,      logger.error('Create goal error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
31,./server/src/controllers/acosController.ts,36,      logger.error('Create goal error details:'; { error: errorMessage; stack: error?.stack });,SAFE_LOG,N/A,      logger.error('Create goal error details:'; { error: errorMessage; stack: error?.stack });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
32,./server/src/controllers/acosController.ts,52,      logger.error('Get goals error'; error);,SAFE_LOG,N/A,      logger.error('Get goals error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
33,./server/src/controllers/acosController.ts,64,      logger.error('Get goal error'; error);,SAFE_LOG,N/A,      logger.error('Get goal error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
34,./server/src/controllers/acosController.ts,81,      logger.error('Update goal error'; error);,SAFE_LOG,N/A,      logger.error('Update goal error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
35,./server/src/controllers/acosController.ts,93,      logger.error('Delete goal error'; error);,SAFE_LOG,N/A,      logger.error('Delete goal error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
36,./server/src/controllers/acosController.ts,105,      logger.error('Restore goal error'; error);,SAFE_LOG,N/A,      logger.error('Restore goal error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
37,./server/src/controllers/acosController.ts,134,      logger.error('Create control loop error'; error);,SAFE_LOG,N/A,      logger.error('Create control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
38,./server/src/controllers/acosController.ts,136,      logger.error('Create control loop error details:'; { error: errorMessage; stack: error?.stack });,SAFE_LOG,N/A,      logger.error('Create control loop error details:'; { error: errorMessage; stack: error?.stack });,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
39,./server/src/controllers/acosController.ts,152,      logger.error('Execute control loop error'; error);,SAFE_LOG,N/A,      logger.error('Execute control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
40,./server/src/controllers/acosController.ts,166,      logger.error('Get control loop error'; error);,SAFE_LOG,N/A,      logger.error('Get control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
41,./server/src/controllers/acosController.ts,178,      logger.error('Get control loop history error'; error);,SAFE_LOG,N/A,      logger.error('Get control loop history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
42,./server/src/controllers/acosController.ts,190,      logger.error('Pause control loop error'; error);,SAFE_LOG,N/A,      logger.error('Pause control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
43,./server/src/controllers/acosController.ts,202,      logger.error('Resume control loop error'; error);,SAFE_LOG,N/A,      logger.error('Resume control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
44,./server/src/controllers/acosController.ts,214,      logger.error('Update control loop error'; error);,SAFE_LOG,N/A,      logger.error('Update control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
45,./server/src/controllers/acosController.ts,226,      logger.error('Delete control loop error'; error);,SAFE_LOG,N/A,      logger.error('Delete control loop error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
46,./server/src/controllers/acosController.ts,241,      logger.error('Estimate blast radius error'; error);,SAFE_LOG,N/A,      logger.error('Estimate blast radius error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
