site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
26,services/api.ts,405,POST /risks/prioritize,CONTRACT_MATCH,NONE,"backend risks.ts:325 router.post('/prioritize', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
27,services/api.ts,411,POST /risks/:id/remediation,CONTRACT_MATCH,NONE,"backend risks.ts:406 router.post('/:id/remediation', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
28,services/api.ts,417,POST /risks/scan,CONTRACT_MATCH,NONE,"backend risks.ts:473 router.post('/scan', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
29,services/api.ts,435,GET /frameworks/:frameworkId/controls/:controlId/export,CONTRACT_MATCH,NONE,"backend frameworks.ts:239 router.get('/:frameworkId/controls/:controlId/export', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
30,services/api.ts,439,POST /frameworks/:frameworkId/controls,CONTRACT_MATCH,NONE,"backend frameworks.ts:242 router.post('/:frameworkId/controls', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
31,services/api.ts,446,PATCH /frameworks/:frameworkId/controls/:controlId,CONTRACT_MATCH,NONE,"backend frameworks.ts:243 router.patch('/:frameworkId/controls/:controlId', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
32,services/api.ts,453,POST /frameworks/:frameworkId/controls/bulk-update,CONTRACT_MATCH,NONE,"backend frameworks.ts:244 router.post('/:frameworkId/controls/bulk-update', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
33,services/api.ts,460,DELETE /frameworks/:frameworkId/controls/:controlId,CONTRACT_MATCH,NONE,"backend frameworks.ts:245 router.delete('/:frameworkId/controls/:controlId', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
34,services/api.ts,504,POST /frameworks/suggestions/:suggestionId/accept,CONTRACT_MATCH,NONE,"backend frameworks.ts:256 router.post('/suggestions/:suggestionId/accept', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
35,services/api.ts,510,POST /frameworks/suggestions/:suggestionId/reject,CONTRACT_MATCH,NONE,"backend frameworks.ts:257 router.post('/suggestions/:suggestionId/reject', ...)",2026-05-29T20:30:00Z,session12_subagent_12,session12,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
