site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
10,server/src/controllers/acosController.ts,399,exportAnalysisReport handler,WRAPPED_VERIFIED,NONE,"prisma.auditLog.create at line 412 with action 'evidence.analysis_exported' inside exportAnalysisReport method",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
11,server/src/controllers/acosController.ts,405,evidenceTruthLayerService.exportAnalysisReport,WRAPPED_VERIFIED,NONE,"interior call inside exportAnalysisReport; auditLog.create at line 412 covers function",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
12,server/src/controllers/acosController.ts,411,prisma.auditLog.create action evidence.analysis_exported,WRAPPED_VERIFIED,NONE,"prisma.auditLog.create({ data: { action: 'evidence.analysis_exported', userId, organizationId, hash, details, ipAddress, userAgent } }) at line 412",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
13,server/src/controllers/acosController.ts,415,throw new AppError Failed to export analysis report,WRAPPED_VERIFIED,NONE,"catch in exportAnalysisReport at line 416; audit log written at line 412 in success path",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
14,server/src/controllers/acosController.ts,1100,const { seed withCorrelations exportResults } = req.body,NOT_APPLICABLE,NONE,"destructuring exportResults flag inside runMonteCarlo at line 1101; computational simulation not a privileged data export",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
15,server/src/controllers/acosController.ts,1110,exportResults param passed to runMonteCarloSimulation,NOT_APPLICABLE,NONE,"exportResults option passed to service at line 1111; simulation run not a privileged data export action",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
16,server/src/controllers/acosController.ts,1207,exportScanResults handler,WRAPPED_VERIFIED,NONE,"prisma.auditLog.create at line 1216 with action 'redteam.scan_results_exported' inside exportScanResults method",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
17,server/src/controllers/acosController.ts,1210,redTeamService.exportScanResults,WRAPPED_VERIFIED,NONE,"interior call inside exportScanResults at line 1211; auditLog.create at line 1216 covers function",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
18,server/src/controllers/acosController.ts,1215,prisma.auditLog.create action redteam.scan_results_exported,WRAPPED_VERIFIED,NONE,"prisma.auditLog.create({ data: { action: 'redteam.scan_results_exported', userId, organizationId, hash, details, ipAddress, userAgent } }) at line 1216",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
19,server/src/controllers/acosController.ts,1216,res.json exportData,WRAPPED_VERIFIED,NONE,"inside exportScanResults at line 1217; audit log written at line 1216 immediately above",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
20,server/src/controllers/acosController.ts,1219,throw new AppError Failed to export scan results,WRAPPED_VERIFIED,NONE,"catch in exportScanResults at line 1220; audit log written at line 1216 in success path",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
21,server/src/controllers/acosController.ts,1429,exportInsights handler,WRAPPED_VERIFIED,NONE,"prisma.auditLog.create at line 1438 with action 'swarm.insights_exported' inside exportInsights method",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
22,server/src/controllers/acosController.ts,1432,federatedSwarmService.exportInsights,WRAPPED_VERIFIED,NONE,"interior call inside exportInsights at line 1433; auditLog.create at line 1438 covers function",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
23,server/src/controllers/acosController.ts,1437,prisma.auditLog.create action swarm.insights_exported,WRAPPED_VERIFIED,NONE,"prisma.auditLog.create({ data: { action: 'swarm.insights_exported', userId, organizationId, hash, details, ipAddress, userAgent } }) at line 1438",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
24,server/src/controllers/acosController.ts,1438,res.json exportData,WRAPPED_VERIFIED,NONE,"inside exportInsights at line 1439; audit log written at line 1438 immediately above",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
25,server/src/controllers/acosController.ts,1441,throw new AppError Failed to export insights,WRAPPED_VERIFIED,NONE,"catch in exportInsights at line 1442; audit log written at line 1438 in success path",2026-05-30T00:00:00Z,session13_subagent_1,session13,8197a9932a41d1524e88ab4d2a91e3230da44a3fd01809c240c997778f086ebc
