site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,server/src/controllers/featureModulesController.ts,1324,prisma.breachIncident.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId, status: { in: ['detected', 'investigating', 'contained'] } }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
2,server/src/controllers/featureModulesController.ts,1334,prisma.surveillancePlan.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId, status: 'active' }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
3,server/src/controllers/featureModulesController.ts,1340,prisma.surveillanceIncident.findFirst,OWNERSHIP_PRECHECK,NONE,"where: { planId: plan.id, capaId: breach.id } — both plan and breach loaded with organizationId: orgId filter at lines 1324/1334 immediately before",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
4,server/src/controllers/featureModulesController.ts,1373,prisma.integration.findFirst,ORG_IN_WHERE,NONE,"where: { organizationId: orgId, provider, connected: true }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
5,server/src/controllers/featureModulesController.ts,139,prisma.dPOProfile.findUnique,ORG_IN_WHERE,NONE,"where: { organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
6,server/src/controllers/featureModulesController.ts,1407,prisma.regulationModuleData.findUnique,ORG_IN_WHERE,NONE,"where: { organizationId_module_dataType: { organizationId: orgId, module, dataType } }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
7,server/src/controllers/featureModulesController.ts,1416,prisma.regulationModuleData.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId, module }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
8,server/src/controllers/featureModulesController.ts,1468,prisma.metricsHistory.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId, metricType, recordedAt: { gte: since } }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
9,server/src/controllers/featureModulesController.ts,1481,prisma.metricsHistory.findFirst,ORG_IN_WHERE,NONE,"where: { organizationId: orgId, metricType: mt }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
10,server/src/controllers/featureModulesController.ts,161,prisma.breachIncident.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
11,server/src/controllers/featureModulesController.ts,188,prisma.breachIncident.findFirst,ORG_IN_WHERE,NONE,"where: { id: req.params.id, organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
12,server/src/controllers/featureModulesController.ts,237,prisma.breachTemplate.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
13,server/src/controllers/featureModulesController.ts,270,prisma.regulatoryContact.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
14,server/src/controllers/featureModulesController.ts,307,prisma.cEProduct.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
15,server/src/controllers/featureModulesController.ts,329,prisma.cEProduct.findFirst,ORG_IN_WHERE,NONE,"where: { id: req.params.id, organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
16,server/src/controllers/featureModulesController.ts,33,prisma.governanceBody.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: getOrgId(req) }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
17,server/src/controllers/featureModulesController.ts,379,prisma.cEProduct.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId }, select: { id, name, technicalFile, testResults, ceMarkingStatus }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
18,server/src/controllers/featureModulesController.ts,417,prisma.cEProduct.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId }, select: { id: true, name: true, riskAssessment: true }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
19,server/src/controllers/featureModulesController.ts,433,prisma.cEProduct.findMany,ORG_IN_WHERE,NONE,"where: { organizationId: orgId }, select: { id, name, testResults, ceMarkingStatus, expiryDate }",2026-05-30T00:00:00Z,session13_subagent_5,session13,c53a34aead2070afad1a5565e21b82542bb4b60e0bb73ad87f5da5c8f0d70ca4
