site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,services/api.ts,1534,POST /acos/rif/ingest-regulation,MATCH,NONE,"backend acos.ts:154 router.post('/rif/ingest-regulation' ...)",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
2,services/api.ts,1535,POST /acos/rif/:regulatoryChangeId/auto-update,MATCH,NONE,"backend acos.ts:156 router.post('/rif/:regulatoryChangeId/auto-update' ...)",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
3,services/api.ts,1538,GET /acos/tgn/predict-risks?months=,MATCH,NONE,"backend acos.ts:171 router.get('/tgn/predict-risks' ...)",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
4,services/api.ts,1539,GET /acos/tgn/frameworks/:frameworkId/trajectory?months=,MATCH,NONE,"backend acos.ts:167 router.get('/tgn/frameworks/:frameworkId/trajectory' ...)",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
5,services/api.ts,1540,GET /acos/tgn/early-warnings?months=,MATCH,NONE,"backend acos.ts:168 router.get('/tgn/early-warnings' ...)",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
6,services/api.ts,1543,POST /acos/digital-twin/simulate,MATCH,NONE,"backend acos.ts:175 router.post('/digital-twin/simulate' ... validateBody(runSimulationSchema))",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
7,services/api.ts,1544,POST /acos/digital-twin/monte-carlo,MATCH,NONE,"backend acos.ts:181 router.post('/digital-twin/monte-carlo' ... validateBody(runMonteCarloSchema))",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
8,services/api.ts,1547,POST /acos/red-team/simulate,MATCH,NONE,"backend acos.ts:184 router.post('/red-team/simulate' ... validateBody(runRedTeamSimulationSchema))",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
9,services/api.ts,1548,POST /acos/red-team/automated-scan,MATCH,NONE,"backend acos.ts:185 router.post('/red-team/automated-scan' ... validateBody(runAutomatedScanSchema))",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
10,services/api.ts,1551,POST /acos/swarm/contribute,MATCH,NONE,"backend acos.ts:197 router.post('/swarm/contribute' ... validateBody(contributeToFederationSchema))",2026-05-30T00:00:00Z,session13_subagent_20,session13,aa69d5f42dc1e19f68fcace68215d98dbc30bd5da195fe3d09d3f49481d1fe56
