op_number,file,line,model,operation,verdict,evidence_function_name,evidence_org_check_line,scan_hint
001,./server/src/services/advanced/acosService.ts,157,complianceGoal,create,ORG_IN_PRIOR_findFirst_SCAN_HINT,async createComplianceGoal(,,ORG_IN_FUNC_NOT_IN_WRITE
002,./server/src/services/advanced/acosService.ts,170,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async createComplianceGoal(,,ORG_SCOPED
003,./server/src/services/advanced/acosService.ts,273,controlLoop,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async createControlLoop(,,ORG_SCOPED
004,./server/src/services/advanced/acosService.ts,296,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async createControlLoop(,,ORG_SCOPED
005,./server/src/services/advanced/acosService.ts,483,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async executeControlLoop(,,ORG_IN_FUNC_NOT_IN_WRITE
006,./server/src/services/advanced/acosService.ts,549,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async executeControlLoop(,,ORG_IN_FUNC_NOT_IN_WRITE
007,./server/src/services/advanced/acosService.ts,568,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async executeControlLoop(,,ORG_IN_FUNC_NOT_IN_WRITE
008,./server/src/services/advanced/acosService.ts,595,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async executeControlLoop(,,ORG_IN_FUNC_NOT_IN_WRITE
009,./server/src/services/advanced/acosService.ts,661,frameworkControl,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async autonomousAction(,,ORG_IN_FUNC_NOT_IN_WRITE
010,./server/src/services/advanced/acosService.ts,715,complianceDebt,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async trackComplianceDebt(,,ORG_SCOPED
011,./server/src/services/advanced/acosService.ts,730,auditLog,create,ORG_IN_PRIOR_findFirst_SCAN_HINT,async trackComplianceDebt(,,ORG_IN_FUNC_NOT_IN_WRITE
012,./server/src/services/advanced/acosService.ts,903,changeImpact,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async forecastChangeImpact(,,ORG_SCOPED
013,./server/src/services/advanced/acosService.ts,919,auditLog,create,ORG_IN_PRIOR_findFirst_SCAN_HINT,async forecastChangeImpact(,,ORG_IN_FUNC_NOT_IN_WRITE
014,./server/src/services/advanced/acosService.ts,1198,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async resolveChangeImpact(,,ORG_SCOPED
015,./server/src/services/advanced/acosService.ts,1209,changeImpact,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async resolveChangeImpact(,,ORG_IN_FUNC_NOT_IN_WRITE
016,./server/src/services/advanced/acosService.ts,1427,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async updateControlLoop(,,ORG_IN_FUNC_NOT_IN_WRITE
017,./server/src/services/advanced/acosService.ts,1433,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async updateControlLoop(,,ORG_SCOPED
018,./server/src/services/advanced/acosService.ts,1488,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,"async pauseControlLoop(loopId: string, organizationId: string, userId: string): ",,ORG_IN_FUNC_NOT_IN_WRITE
019,./server/src/services/advanced/acosService.ts,1494,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,"async pauseControlLoop(loopId: string, organizationId: string, userId: string): ",,ORG_SCOPED
020,./server/src/services/advanced/acosService.ts,1549,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,"async resumeControlLoop(loopId: string, organizationId: string, userId: string):",,ORG_IN_FUNC_NOT_IN_WRITE
021,./server/src/services/advanced/acosService.ts,1555,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,"async resumeControlLoop(loopId: string, organizationId: string, userId: string):",,ORG_SCOPED
022,./server/src/services/advanced/acosService.ts,1620,controlLoop,delete,ORG_IN_PRIOR_findFirst_SCAN_HINT,"async deleteControlLoop(loopId: string, organizationId: string, userId: string):",,ORG_IN_FUNC_NOT_IN_WRITE
023,./server/src/services/advanced/acosService.ts,1625,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,"async deleteControlLoop(loopId: string, organizationId: string, userId: string):",,ORG_SCOPED
024,./server/src/services/advanced/acosService.ts,1781,complianceGoal,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async updateComplianceGoal(,,ORG_IN_FUNC_NOT_IN_WRITE
025,./server/src/services/advanced/acosService.ts,1787,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async updateComplianceGoal(,,ORG_SCOPED
026,./server/src/services/advanced/acosService.ts,1799,complianceGoal,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async updateComplianceGoal(,,ORG_IN_FUNC_NOT_IN_WRITE
027,./server/src/services/advanced/acosService.ts,1838,complianceGoal,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,"async deleteComplianceGoal(goalId: string, organizationId: string, userId: strin",,ORG_IN_FUNC_NOT_IN_WRITE
028,./server/src/services/advanced/acosService.ts,1844,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,"async deleteComplianceGoal(goalId: string, organizationId: string, userId: strin",,ORG_SCOPED
029,./server/src/services/advanced/acosService.ts,1876,complianceGoal,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,"async restoreComplianceGoal(goalId: string, organizationId: string, userId: stri",,ORG_IN_FUNC_NOT_IN_WRITE
030,./server/src/services/advanced/acosService.ts,1882,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,"async restoreComplianceGoal(goalId: string, organizationId: string, userId: stri",,ORG_SCOPED
031,./server/src/services/advanced/acosService.ts,1925,controlLoop,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async updateControlLoopMetrics(,,ORG_IN_FUNC_NOT_IN_WRITE
032,./server/src/services/advanced/acosService.ts,2093,complianceDebt,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,async resolveComplianceDebt(,,ORG_IN_FUNC_NOT_IN_WRITE
033,./server/src/services/advanced/acosService.ts,2102,auditLog,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async resolveComplianceDebt(,,ORG_SCOPED
034,./server/src/services/advanced/acosService.ts,2153,complianceFramework,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async recalculateComplianceScore(,,ORG_IN_FUNC_NOT_IN_WRITE
035,./server/src/services/advanced/acosService.ts,2312,controlLoop,update,ORG_IN_WHERE_OR_DATA_SCAN_HINT,"async updateControlLoopConfidence(controlId: string, organizationId: string): Pr",,ORG_SCOPED
036,./server/src/services/advanced/acosService.ts,2340,controlLoopHistory,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,private async recordLoopHistory(,,ORG_SCOPED
037,./server/src/services/advanced/agenticAIService.ts,469,agenticAction,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async executeAction(,,ORG_SCOPED
038,./server/src/services/advanced/agenticAIService.ts,529,agenticAction,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async executeActionInternal(,,ORG_IN_FUNC_NOT_IN_WRITE
039,./server/src/services/advanced/agenticAIService.ts,568,agenticAction,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async executeActionInternal(,,ORG_IN_FUNC_NOT_IN_WRITE
040,./server/src/services/advanced/agenticAIService.ts,580,agenticAction,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async executeActionInternal(,,ORG_IN_FUNC_NOT_IN_WRITE
041,./server/src/services/advanced/agenticAIService.ts,588,agenticAction,update,ORG_IN_WHERE_OR_DATA_SCAN_HINT,private async executeActionInternal(,,ORG_SCOPED
042,./server/src/services/advanced/agenticAIService.ts,596,auditLog,create,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async executeActionInternal(,,ORG_IN_FUNC_NOT_IN_WRITE
043,./server/src/services/advanced/agenticAIService.ts,623,agenticAction,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async executeActionInternal(,,ORG_IN_FUNC_NOT_IN_WRITE
044,./server/src/services/advanced/agenticAIService.ts,691,agenticAction,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async createCheckpoint(,,ORG_IN_FUNC_NOT_IN_WRITE
045,./server/src/services/advanced/agenticAIService.ts,742,frameworkControl,update,ORG_IN_WHERE_OR_DATA_SCAN_HINT,private async executeControlUpdate(,,ORG_SCOPED
046,./server/src/services/advanced/agenticAIService.ts,770,policy,create,ORG_IN_WHERE_OR_DATA_SCAN_HINT,private async executePolicyCreate(,,ORG_SCOPED
047,./server/src/services/advanced/agenticAIService.ts,806,riskItem,update,ORG_IN_PRIOR_findFirst_SCAN_HINT,private async executeRiskMitigation(,,ORG_IN_FUNC_NOT_IN_WRITE
048,./server/src/services/advanced/agenticAIService.ts,896,agenticAction,update,ORG_IN_WHERE_OR_DATA_SCAN_HINT,async rollbackAction(,,ORG_SCOPED
