row_number,file,line,snippet,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
1,server/src/controllers/euRegulationsController.ts,31,res.status(201).json({ system });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:25-32,"registerAISystem: RequestHandler = asyncHandler(async (req: Request; res: Response): Promise<void> => { ... res.status(201).json({ system }); });",2026-05-25T00:00:00Z,controllers_chunk_01
2,server/src/controllers/euRegulationsController.ts,76,res.status(201).json({ assessment });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:69-77,"conductRiskAssessment asyncHandler wrapper auto-forwards errors to express; this is happy-path 201 after service call.",2026-05-25T00:00:00Z,controllers_chunk_01
3,server/src/controllers/euRegulationsController.ts,90,res.status(201).json({ report });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:79-91,"generateTransparencyReport asyncHandler wrapper; happy-path 201 after euAiActService.generateTransparencyReport().",2026-05-25T00:00:00Z,controllers_chunk_01
4,server/src/controllers/euRegulationsController.ts,119,res.status(204).send();,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:113-120,"deleteAISystem asyncHandler wrapper; happy-path 204 No Content after delete.",2026-05-25T00:00:00Z,controllers_chunk_01
5,server/src/controllers/euRegulationsController.ts,131,res.status(201).json({ gatekeeper });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:126-132,"registerGatekeeper asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
6,server/src/controllers/euRegulationsController.ts,193,res.status(201).json({ report });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:187-194,"generateComplianceReport asyncHandler wrapper; happy-path 201 after dmaService.generateComplianceReport().",2026-05-25T00:00:00Z,controllers_chunk_01
7,server/src/controllers/euRegulationsController.ts,211,res.status(204).send();,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:205-212,"deleteGatekeeper asyncHandler wrapper; happy-path 204 No Content after delete.",2026-05-25T00:00:00Z,controllers_chunk_01
8,server/src/controllers/euRegulationsController.ts,223,res.status(201).json({ platform });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:218-224,"registerPlatform asyncHandler wrapper; happy-path 201 after dsaService.registerPlatform().",2026-05-25T00:00:00Z,controllers_chunk_01
9,server/src/controllers/euRegulationsController.ts,249,res.status(201).json({ moderation });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:243-250,"recordContentModeration asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
10,server/src/controllers/euRegulationsController.ts,267,res.status(201).json({ report });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:261-268,"reportIllegalContent asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
