row_number,file,line,mount_snippet,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
1,server/src/index.ts,369,"app.use('/api/billing/webhook'  apiLimiter  express.raw({ type",RATE_LIMITED_INLINE,server/src/index.ts:367-372,"app.use('/api/billing/webhook'; apiLimiter; express.raw({ type: 'application/json' }));",2026-05-25T00:00:00Z,rate_limits_chunk_01
2,server/src/index.ts,376,"app.use('/api'  csrfProtection);",INTERNAL_NOT_USER_FACING,server/src/index.ts:374-377,"// CSRF protection for state-changing API routes (POST; PUT; PATCH; DELETE) -- app.use('/api'; csrfProtection);",2026-05-25T00:00:00Z,rate_limits_chunk_01
3,server/src/index.ts,420,"app.use('/api/docs'  apiLimiter  swaggerUi.serve  swaggerUi.setup(swaggerSpec  {",RATE_LIMITED_INLINE,server/src/index.ts:419-423,"app.use('/api/docs'; apiLimiter; swaggerUi.serve; swaggerUi.setup(swaggerSpec; { customCss: '.swagger-ui .topbar { display: none }'; customSiteTitle: 'ComplyEasy AI API Docs'; }));",2026-05-25T00:00:00Z,rate_limits_chunk_01
4,server/src/index.ts,559,"app.use('/api/auth'  authLimiter  authRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:558-559,"// API routes -- app.use('/api/auth'; authLimiter; authRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
5,server/src/index.ts,560,"app.use('/api/2fa'  authLimiter  twoFactorRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:560,"app.use('/api/2fa'; authLimiter; twoFactorRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
6,server/src/index.ts,561,"app.use('/api/risks'  apiLimiter  risksRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:561,"app.use('/api/risks'; apiLimiter; risksRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
7,server/src/index.ts,562,"app.use('/api/frameworks'  apiLimiter  frameworksRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:562,"app.use('/api/frameworks'; apiLimiter; frameworksRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
8,server/src/index.ts,563,"app.use('/api/ai'  apiLimiter  aiRoutes); // Mount-level apiLimiter + internal AI-specific limiter",RATE_LIMITED_INLINE,server/src/index.ts:563,"app.use('/api/ai'; apiLimiter; aiRoutes); // Mount-level apiLimiter + internal AI-specific limiter",2026-05-25T00:00:00Z,rate_limits_chunk_01
9,server/src/index.ts,564,"app.use('/api/billing'  apiLimiter  billingRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:564,"app.use('/api/billing'; apiLimiter; billingRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
10,server/src/index.ts,565,"app.use('/api/integrations'  apiLimiter  integrationsRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:565,"app.use('/api/integrations'; apiLimiter; integrationsRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
11,server/src/index.ts,566,"app.use('/api/eu-regulations'  apiLimiter  euRegulationsRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:566,"app.use('/api/eu-regulations'; apiLimiter; euRegulationsRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
12,server/src/index.ts,567,"app.use('/api/team'  apiLimiter  teamRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:567,"app.use('/api/team'; apiLimiter; teamRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
13,server/src/index.ts,568,"app.use('/api/audit'  apiLimiter  auditRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:568,"app.use('/api/audit'; apiLimiter; auditRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
14,server/src/index.ts,569,"app.use('/api/organization'  apiLimiter  organizationRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:569,"app.use('/api/organization'; apiLimiter; organizationRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
15,server/src/index.ts,570,"app.use('/api/control-mappings'  apiLimiter  controlMappingsRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:570,"app.use('/api/control-mappings'; apiLimiter; controlMappingsRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
16,server/src/index.ts,571,"app.use('/api/evidence-versions'  apiLimiter  evidenceVersionsRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:571,"app.use('/api/evidence-versions'; apiLimiter; evidenceVersionsRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
17,server/src/index.ts,574,"app.use('/api/personnel'  apiLimiter  personnelRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:574,"app.use('/api/personnel'; apiLimiter; personnelRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
18,server/src/index.ts,575,"app.use('/api/vendors'  apiLimiter  vendorRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:575,"app.use('/api/vendors'; apiLimiter; vendorRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
19,server/src/index.ts,576,"app.use('/api/enterprise'  apiLimiter  enterpriseRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:576,"app.use('/api/enterprise'; apiLimiter; enterpriseRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
20,server/src/index.ts,579,"app.use('/api/acos'  apiLimiter  acosRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:579,"app.use('/api/acos'; apiLimiter; acosRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
21,server/src/index.ts,582,"app.use('/api/ai-rmf'  apiLimiter  aiRmfRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:582,"app.use('/api/ai-rmf'; apiLimiter; aiRmfRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
22,server/src/index.ts,585,"app.use('/api/security'  apiLimiter  securityRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:585,"app.use('/api/security'; apiLimiter; securityRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
23,server/src/index.ts,588,"app.use('/api/webhooks'  apiLimiter  webhooksRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:588,"app.use('/api/webhooks'; apiLimiter; webhooksRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
24,server/src/index.ts,589,"app.use('/api/demo'  apiLimiter  demoRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:589,"app.use('/api/demo'; apiLimiter; demoRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
