component,verdict,api_call_count,demo_constant_count,serverReachable_present,notes
components/BrandingSettings.tsx,PARTIALLY_WIRED_VERIFY,0,0,False,v19 read; serverReachable+api wired
components/CEMarkingWorkflow.tsx,FULLY_WIRED_WITH_FALLBACK,9,6,True,v19 read; serverReachable+api wired
components/CICDGateSettings.tsx,PARTIALLY_WIRED_VERIFY,7,1,False,v19 read; serverReachable+api wired
components/CSRDDashboard.tsx,FULLY_WIRED_WITH_FALLBACK,6,5,True,v19 read; serverReachable+api wired
components/DigitalProductPassport.tsx,FULLY_WIRED_WITH_FALLBACK,11,6,True,v19 read; serverReachable+api wired
components/ESGReportingModule.tsx,PARTIALLY_WIRED_VERIFY,10,5,False,v19 read; serverReachable+api wired
components/EnvironmentalLifecycle.tsx,FULLY_WIRED_WITH_FALLBACK,4,6,True,v19 read; serverReachable+api wired
components/MaturityAssessment.tsx,PARTIALLY_WIRED_VERIFY,3,1,False,v19 read; serverReachable+api wired
components/PostMarketSurveillance.tsx,FULLY_WIRED_WITH_FALLBACK,9,6,True,v19 read; serverReachable+api wired
components/ProductDecommissioning.tsx,FULLY_WIRED_WITH_FALLBACK,7,4,True,v19 read; serverReachable+api wired
components/SBOMManager.tsx,FULLY_WIRED_WITH_FALLBACK,11,5,True,v19 read; serverReachable+api wired
components/SSOSettings.tsx,PARTIALLY_WIRED_VERIFY,0,1,False,v19 read; serverReachable+api wired
components/USPrivacyTracker.tsx,FULLY_WIRED_WITH_FALLBACK,4,3,True,v19 read; serverReachable+api wired
components/WorkflowAutomationRules.tsx,FULLY_WIRED_WITH_FALLBACK,7,2,True,v19 read; serverReachable+api wired
components/AIFeatures/VendorScorer.tsx,STATIC_ONLY_NEEDS_REVIEW,0,0,False,scan static; classification: needs_review
components/Breadcrumbs.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/CommunityPage.tsx,STATIC_ONLY_NEEDS_REVIEW,0,0,False,scan static; classification: needs_review
components/DarkModeToggle.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/HomeOS.tsx,STATIC_ONLY_NEEDS_REVIEW,0,0,False,scan static; classification: needs_review
components/LearnPage.tsx,STATIC_ONLY_NEEDS_REVIEW,0,0,False,scan static; classification: needs_review
components/Onboarding/OnboardingHint.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/Onboarding/OnboardingProgress.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/Onboarding/OnboardingTierBadge.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/Pagination.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/RisingSignals.tsx,STATIC_ONLY_NEEDS_REVIEW,0,0,False,scan static; classification: needs_review
components/SkipNavLink.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/SlimSidebar.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/TabbedContainer.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/ThemeToggle.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/TierCard.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/TierLimitBanner.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: UI_primitive
components/hubs/AIComplianceTools.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/AIDocumentTools.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/AnalyticsHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/AuditCenter.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/EnterpriseOpsHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/EvidenceHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/GovernanceHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/IncidentHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/PolicyHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/ProductHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/ReportingCenter.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/RiskHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/hubs/VendorHub.tsx,INTENTIONAL_STATIC,0,0,False,scan static; classification: navigation_hub
components/FeatureLibrary.tsx,INTENTIONAL_STATIC,0,0,False,CLAUDE.md authorized
