file_path,verdict,evidence_lines,classified_by_audit_pass,notes
./Dockerfile,INFRA,,§10,see infra_file_ledger.csv
./docker-compose.elk.yml,INFRA,,§10,see infra_file_ledger.csv
./docker-compose.prod.yml,INFRA,,§10,see infra_file_ledger.csv
./docker-compose.security.yml,INFRA,,§10,see infra_file_ledger.csv
./docker-compose.yml,INFRA,,§10,see infra_file_ledger.csv
./infrastructure/security/falco/complyeasy_rules.yaml,INFRA,,§10,see infra_file_ledger.csv
./infrastructure/security/falco/docker-compose.falco.yml,INFRA,,§10,see infra_file_ledger.csv
./infrastructure/security/falco/falco.yaml,INFRA,,§10,see infra_file_ledger.csv
./logstash/pipeline/logstash.conf,INFRA,,§10,see infra_file_ledger.csv
./nginx/default.conf,INFRA,,§10,see infra_file_ledger.csv
./nginx/nginx.conf,INFRA,,§10,see infra_file_ledger.csv
./server/docker/opa/Dockerfile,INFRA,,§10,see infra_file_ledger.csv
./server/docker/opa/docker-compose.yml,INFRA,,§10,see infra_file_ledger.csv
.github/workflows/ci.yml,INFRA,,§10,see infra_file_ledger.csv
.github/workflows/codeql.yml,INFRA,,§10,see infra_file_ledger.csv
.github/workflows/dependency-scan.yml,INFRA,,§10,see infra_file_ledger.csv
.github/workflows/mobile.yml,INFRA,,§10,see infra_file_ledger.csv
.github/workflows/scheduled-backup.yml,INFRA,,§10,see infra_file_ledger.csv
components/ACOSDashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIComplianceCopilot.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/AgenticVendorRisk.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/AuditSimulator.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/BCPGenerator.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/ContractAnalyzer.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/CrossFrameworkMapper.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/DataMapper.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/EvidenceCompletenessChecker.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/EvidenceDetailPanel.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/GapAnalysis.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/HomomorphicAI.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/NaturalLanguageQuery.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/PhishingGenerator.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/PolicyGenerator.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/RFPResponder.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/RegulatoryAutoRemediation.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIFeatures/VendorScorer.tsx,STATIC_ONLY_VERIFY,,§6,static_only per scan; §6 must reclassify as UI primitive vs gap
components/AIRMFAssessments.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIRMFDashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AIReportGenerator.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AISystemCreate.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AISystemDetails.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AISystemDetails_Modals.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AISystemList.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AccessibilitySettings.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AccountDeletionWorkflow.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AssetManagement.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AuditPrepAssistant.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AuditTrail.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/AuditorHub.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/BrandingSettings.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/BreachNotificationWizard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/Breadcrumbs.tsx,STATIC_ONLY_VERIFY,,§6,static_only per scan; §6 must reclassify as UI primitive vs gap
components/BusinessImpactAnalysis.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/CEMarkingWorkflow.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/CICDGateSettings.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/CSRDDashboard.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/CertificationTracker.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/CommandPalette.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/CommunityPage.tsx,STATIC_ONLY_VERIFY,,§6,static_only per scan; §6 must reclassify as UI primitive vs gap
components/ComplianceCalendar.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ComplianceChat.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ComplianceCostDashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ComplianceGauge.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ComplianceScoreForecasting.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ControlTestResults.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/CookieConsentBanner.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DMAGatekeeperManagement.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DORADashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DPIAWorkflow.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DSAPlatformManagement.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DarkModeToggle.tsx,STATIC_ONLY_VERIFY,,§6,static_only per scan; §6 must reclassify as UI primitive vs gap
components/Dashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DemoBookingForm.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/DigitalProductPassport.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/DocsPage.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ESGReportingModule.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/EUAIActDashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/EUCRADashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/EcodesignDashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/EnvironmentalLifecycle.tsx,PARTIALLY_WIRED_VERIFY,,§6,needs §6 verification (see component ledger)
components/EvidenceCollectionRules.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ExceptionManagement.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/ExecutiveDashboard.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/FeatureLibrary.tsx,INTENTIONAL_STATIC,,,intentional per CLAUDE.md
components/FeatureMarketplace.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/FrameworkDetails.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/Frameworks.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/GlobalSearch.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/GoalModal.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/GovernanceManager.tsx,CLEAN,,§3.4-scan,FULLY_WIRED or DEV_FALLBACK per scan; representative read pending
components/HomeOS.tsx,STATIC_ONLY_VERIFY,,§6,static_only per scan; §6 must reclassify as UI primitive vs gap
