prisma_model,supabase_table,rls_enabled,policy_count,policy_evidence,verdict
Organization,Organization,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
User,User,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
TwoFactorBackupCode,TwoFactorBackupCode,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Personnel,Personnel,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
AccessReview,AccessReview,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
Vendor,Vendor,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
VendorAssessment,VendorAssessment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VendorReview,VendorReview,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VendorMonitor,VendorMonitor,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
RiskAssessment,RiskAssessment,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ComplianceFramework,ComplianceFramework,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
FrameworkControl,FrameworkControl,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
RiskItem,RiskItem,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
Questionnaire,Questionnaire,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
QuestionnaireQuestion,QuestionnaireQuestion,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
QuestionnaireResponse,QuestionnaireResponse,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Policy,Policy,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
TrustCertificate,TrustCertificate,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
CustomReport,CustomReport,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ContinuousMonitor,ContinuousMonitor,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
MonitorResult,MonitorResult,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Issue,Issue,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
IssueComment,IssueComment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
AuditLog,AuditLog,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
Integration,Integration,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
MagicLink,MagicLink,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
FileUpload,FileUpload,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
StripeEvent,StripeEvent,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ComplianceGoal,ComplianceGoal,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ControlLoop,ControlLoop,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ControlLoopHistory,ControlLoopHistory,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ComplianceDebt,ComplianceDebt,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ChangeImpact,ChangeImpact,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
AgenticAction,AgenticAction,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
EvidenceAnalysis,EvidenceAnalysis,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
